subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct
SS16,23,Start23,Stop23,516418.6467098601,516423.64796763635,4.0,7.5,0,7.0,False
SS16,24,Start24,Stop24,516430.8607081904,516435.87295866694,4.0,8.5,0,7.0,False
SS17,1,Start1,Stop1,516943.7625969689,516948.76032041194,4.0,7.0,0,7.0,True
SS17,2,Start2,Stop2,516956.1725251275,516961.1682716705,4.0,8.0,0,7.0,False
SS17,3,Start3,Stop3,516968.5726855862,516973.58109942905,4.0,9.0,0,7.0,False
SS17,4,Start4,Stop4,516980.7779530471,516985.78659688996,4.0,11.0,0,7.0,False
SS17,5,Start5,Stop5,516992.9924703078,516998.1907851486,4.0,7.5,0,7.0,False
SS17,6,Start6,Stop6,517005.3915852665,517010.39791770943,4.0,8.5,0,7.0,False
SS17,7,Start7,Stop7,517017.60575892724,517022.6053645703,4.0,7.0,0,7.0,True
SS17,8,Start8,Stop8,517029.8069541882,517034.8199241311,4.0,8.0,0,7.0,False
SS17,9,Start9,Stop9,517042.021281849,517047.21550578985,4.0,9.0,0,7.0,False
SS17,10,Start10,Stop10,517054.42236840766,517059.4281269506,4.0,11.0,0,7.0,False
SS17,11,Start11,Stop11,517066.8257845663,517071.82841420925,4.0,7.5,0,7.0,False
SS17,12,Start12,Stop12,517079.0320914272,517084.0359113701,4.0,8.5,0,7.0,False
SS17,13,Start13,Stop13,517091.2505807879,517096.44183602877,4.0,7.0,0,7.0,True
SS17,14,Start14,Stop14,517103.64814684656,517108.64975858957,4.0,8.0,0,7.0,False
SS17,15,Start15,Stop15,517115.8555946075,517120.8596416504,4.0,9.0,0,7.0,False
SS17,16,Start16,Stop16,517128.05954526836,517133.26343360904,4.0,11.0,0,7.0,False
SS17,17,Start17,Stop17,517140.4696355269,517145.47023636993,4.0,7.5,0,7.0,False
SS17,18,Start18,Stop18,517152.68882148765,517157.88316912844,4.0,8.5,0,7.0,False
SS17,19,Start19,Stop19,517165.1069382461,517169.89146299154,4.0,7.0,0,7.0,True
SS17,20,Start20,Stop20,517177.0936151095,517182.0939980525,4.0,8.0,0,7.0,False
SS17,21,Start21,Stop21,517189.49616306816,517194.5000776111,4.0,9.0,0,7.0,False
SS17,22,Start22,Stop22,517201.702726329,517206.7339513716,4.0,11.0,0,7.0,False
SS17,23,Start23,Stop23,517213.9173116898,517218.91083293286,4.0,7.5,0,7.0,False
SS17,24,Start24,Stop24,517226.11518505076,517231.12470009364,4.0,8.5,0,7.0,False
SS18,1,Start1,Stop1,518342.4482368199,518347.4486566022,4.0,7.0,0,7.0,True
SS18,2,Start2,Stop2,518354.6683597879,518359.6600627706,4.0,8.0,0,7.0,False
SS18,3,Start3,Stop3,518367.0664814482,518372.0745893302,4.0,9.0,0,7.0,False
SS18,4,Start4,Stop4,518379.2738054167,518384.274722799,4.0,11.0,0,7.0,False
SS18,5,Start5,Stop5,518391.4805757854,518396.49035796727,4.0,7.5,0,7.0,False
SS18,6,Start6,Stop6,518403.892874345,518408.89162202744,4.0,8.5,0,7.0,False
SS18,7,Start7,Stop7,518416.1940790095,518421.10271569586,4.0,7.0,0,7.0,True
SS18,8,Start8,Stop8,518428.31130508205,518433.31564326416,4.0,8.0,0,7.0,False
