subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,scores,preproc
SS12,1,Start1,Stop1,431647.43400815886,431652.44458753226,4.0,7.0,5,8.5,False,"[np.float64(2581813.322980288), np.float64(210514.1856409928), np.float64(21427.081599634508), np.float64(1119133.6944186243), np.float64(103602.37936775397), np.float64(73069851.29747303)]",bandpass+dc+sns
SS12,2,Start2,Stop2,431659.4458232362,431664.65701679257,4.0,8.0,5,8.5,False,"[np.float64(1489234.155621715), np.float64(228483.7323491186), np.float64(488216.08870060585), np.float64(809759.5723392168), np.float64(120772.908230265), np.float64(6505642.269284683)]",bandpass+dc+sns
SS12,3,Start3,Stop3,431671.84589598054,431676.8519461544,4.0,9.0,5,8.5,False,"[np.float64(610592.1534985685), np.float64(44045.67277578793), np.float64(1240886.9590541166), np.float64(495670.79790849495), np.float64(125131.79759956573), np.float64(9297656.63719817)]",bandpass+dc+sns
SS12,4,Start4,Stop4,431684.2585056238,431689.259453398,4.0,11.0,5,8.5,False,"[np.float64(561272.9172532185), np.float64(229209.41075235777), np.float64(87798.88478044415), np.float64(6799682.301202295), np.float64(275670.8100826357), np.float64(49263037.381843776)]",bandpass+dc+sns
SS12,5,Start5,Stop5,431696.4641664846,431701.4641031589,4.0,7.5,5,8.5,False,"[np.float64(132178.71697922575), np.float64(204075.96422036793), np.float64(19655.43798795215), np.float64(3001054.592541092), np.float64(930298.2033121937), np.float64(244233879.0801184)]",bandpass+dc+sns
SS12,6,Start6,Stop6,431708.4734575622,431713.479774636,4.0,8.5,5,8.5,True,"[np.float64(1153898.7178228456), np.float64(496367.6070158357), np.float64(202439.77587052103), np.float64(1009054.2547443194), np.float64(358850.6990647628), np.float64(151337127.69438794)]",bandpass+dc+sns
SS12,7,Start7,Stop7,431720.8784276061,431725.8860725798,4.0,7.0,5,8.5,False,"[np.float64(1202384.7781132227), np.float64(257995.06129318033), np.float64(40183.82429971816), np.float64(1391387.9798022772), np.float64(320158.4738274831), np.float64(60890306.99129145)]",bandpass+dc+sns
SS12,8,Start8,Stop8,431733.0868088667,431738.08887964085,4.0,8.0,5,8.5,False,"[np.float64(418203.355066414), np.float64(370598.2305128895), np.float64(335153.11523335206), np.float64(219429.13533664815), np.float64(190937.94644526724), np.float64(876327162.4433504)]",bandpass+dc+sns
SS12,9,Start9,Stop9,431745.29918652703,431750.29827710136,4.0,9.0,5,8.5,False,"[np.float64(290760.00140976475), np.float64(451957.1573053242), np.float64(349964.694189102), np.float64(1034875.6212084135), np.float64(18382.673430840397), np.float64(1757330359.212512)]",bandpass+dc+sns
SS12,10,Start10,Stop10,431757.5100284874,431762.50876416184,4.0,11.0,5,8.5,False,"[np.float64(225500.11563231275), np.float64(174085.27139335565), np.float64(6382.532881992989), np.float64(10491536.779521178), np.float64(227537.25403759384), np.float64(2652928524.4859223)]",bandpass+dc+sns
SS12,11,Start11,Stop11,431769.7327884468,431774.71612182254,4.0,7.5,5,8.5,False,"[np.float64(814841.3906303952), np.float64(176457.81323019034), np.float64(136961.13575949764), np.float64(965140.1456751267), np.float64(754475.5743980206), np.float64(70149187.83253229)]",bandpass+dc+sns
SS12,12,Start12,Stop12,431782.1181839924,431787.12120306643,4.0,8.5,5,8.5,True,"[np.float64(227768.25282102448), np.float64(179164.65304657613), np.float64(33204.92103891833), np.float64(1135611.9136330301), np.float64(682120.0032600324), np.float64(28088472.15973766)]",bandpass+dc+sns
SS12,13,Start13,Stop13,431794.32768475293,431799.3331716268,4.0,7.0,5,8.5,False,"[np.float64(4511084.265435477), np.float64(131801.56135994164), np.float64(134705.1873966474), np.float64(259727.33522652817), np.float64(331646.7739740811), np.float64(167702935.56157574)]",bandpass+dc+sns
SS12,14,Start14,Stop14,431806.7428906959,431811.5415053874,4.0,8.0,5,8.5,False,"[np.float64(54282.44098839613), np.float64(28607.71480889137), np.float64(77077.63248131172), np.float64(1609672.6071886937), np.float64(143852.04852251583), np.float64(479422872.410648)]",bandpass+dc+sns
SS12,15,Start15,Stop15,431818.75286817347,431823.7585424473,4.0,9.0,5,8.5,False,"[np.float64(408871.8044393241), np.float64(1314032.3478341606), np.float64(292316.5586545302), np.float64(1413139.293074587), np.float64(330538.50577094825), np.float64(221750076.85567906)]",bandpass+dc+sns
SS12,16,Start16,Stop16,431831.15295231773,431836.15601959184,4.0,11.0,3,11.0,True,"[np.float64(1377568.773720293), np.float64(589754.1624709254), np.float64(29290.0684513337), np.float64(26327215.384508397), np.float64(252113.13789147363), np.float64(15090311.264268909)]",bandpass+dc+sns
SS12,17,Start17,Stop17,431843.35864247865,431848.36103465274,4.0,7.5,5,8.5,False,"[np.float64(599891.5853739774), np.float64(213753.36899028913), np.float64(137043.39511749704), np.float64(1420511.1828316527), np.float64(625982.8358480328), np.float64(51279210.4690719)]",bandpass+dc+sns
SS12,18,Start18,Stop18,431855.56611423934,431860.5724497131,4.0,8.5,5,8.5,True,"[np.float64(471379.4041605955), np.float64(212833.1628159607), np.float64(279847.39333971054), np.float64(1684583.3069255282), np.float64(334192.5719737891), np.float64(49667620.68327153)]",bandpass+dc+sns
SS12,19,Start19,Stop19,431867.7822033993,431872.7786531739,4.0,7.0,5,8.5,False,"[np.float64(3837349.321845379), np.float64(299401.61563376844), np.float64(103364.13721268826), np.float64(5495103.193847172), np.float64(237754.43953868595), np.float64(58022925202.609055)]",bandpass+dc+sns
SS12,20,Start20,Stop20,431879.9830435606,431884.99399163394,4.0,8.0,5,8.5,False,"[np.float64(289814.99563011393), np.float64(63578.94145175564), np.float64(51005.992365399405), np.float64(906700.449825401), np.float64(221267.67432466245), np.float64(15713196.745839026)]",bandpass+dc+sns
SS12,21,Start21,Stop21,431892.19512562087,431897.3924507784,4.0,9.0,5,8.5,False,"[np.float64(761073.198869799), np.float64(1013740.0732549431), np.float64(579009.9844920568), np.float64(2403920.746651803), np.float64(225590.5362470935), np.float64(56983176.60496616)]",bandpass+dc+sns
SS12,22,Start22,Stop22,431904.6011366647,431909.6046722387,4.0,11.0,5,8.5,False,"[np.float64(242187.52003742705), np.float64(195543.18896617362), np.float64(65435.501301086275), np.float64(1265244.395518071), np.float64(39645.8104350888), np.float64(33754675.13382346)]",bandpass+dc+sns
SS12,23,Start23,Stop23,431916.80992322526,431921.8297523979,4.0,7.5,5,8.5,False,"[np.float64(834259.5931968234), np.float64(1186193.989949536), np.float64(66048.94216274162), np.float64(506491.1737771181), np.float64(19045307.148246177), np.float64(111212549485.3446)]",bandpass+dc+sns
