subject,trial_idx,start_marker,stop_marker,start_time,stop_time,used_duration,true_freq,pred_class_idx,pred_freq,correct,rhos
SS24,8,Start8,Stop8,353876.94462420593,353881.94125082117,4.0,8.0,1,8.0,True,"[np.float64(0.30485614733091915), np.float64(0.46522265184515715), np.float64(0.24316130195937968), np.float64(0.19183712276951795), np.float64(0.31454829312116106), np.float64(0.24552063018075004)]"
SS24,9,Start9,Stop9,353888.55442014127,353893.54081085644,4.0,9.0,2,9.0,True,"[np.float64(0.2747650765732343), np.float64(0.261274528009699), np.float64(0.49124324032540617), np.float64(0.27417382977876614), np.float64(0.2742692502559404), np.float64(0.23674025323121298)]"
SS24,10,Start10,Stop10,353900.1436880765,353905.3792107924,4.0,11.0,1,8.0,False,"[np.float64(0.2374437752637419), np.float64(0.3282590877028517), np.float64(0.22825566843259912), np.float64(0.3216742195288571), np.float64(0.26433297830919905), np.float64(0.20311353816920175)]"
SS24,11,Start11,Stop11,353911.9432422124,353916.9458002276,4.0,7.5,4,7.5,True,"[np.float64(0.25851163383979997), np.float64(0.2514903581322462), np.float64(0.26137781995384274), np.float64(0.2421129833722149), np.float64(0.5386244773467197), np.float64(0.2613841015515133)]"
SS24,12,Start12,Stop12,353923.5474967477,353928.5601673629,4.0,8.5,5,8.5,True,"[np.float64(0.2947278730488982), np.float64(0.2328532087386896), np.float64(0.2217894952608964), np.float64(0.18145361554474343), np.float64(0.2795661509509976), np.float64(0.480922594052436)]"
SS24,13,Start13,Stop13,353935.3559308836,353940.35262369877,4.0,7.0,0,7.0,True,"[np.float64(0.454981542500128), np.float64(0.2264655749516719), np.float64(0.23807378728841147), np.float64(0.23966227929870662), np.float64(0.3738173128893312), np.float64(0.2733213139067887)]"
SS24,14,Start14,Stop14,353946.95292721887,353951.95427273406,4.0,8.0,1,8.0,True,"[np.float64(0.3124683655342684), np.float64(0.5468718918650992), np.float64(0.2366750630060203), np.float64(0.25715013285324717), np.float64(0.2514429330599379), np.float64(0.26205383109138664)]"
SS24,15,Start15,Stop15,353958.56215575413,353963.66237676964,4.0,9.0,2,9.0,True,"[np.float64(0.28605163172778786), np.float64(0.28694537368795536), np.float64(0.4413775527542958), np.float64(0.2781256425854831), np.float64(0.26779549934537583), np.float64(0.2129017175925756)]"
SS24,16,Start16,Stop16,353970.36476399004,353975.3609941053,4.0,11.0,3,11.0,True,"[np.float64(0.19553915853208317), np.float64(0.31656060962586824), np.float64(0.2689555071389007), np.float64(0.5057133919937286), np.float64(0.30866480460621204), np.float64(0.25914356361426344)]"
SS24,17,Start17,Stop17,353982.0451818256,353986.7695031399,4.0,7.5,4,7.5,True,"[np.float64(0.22253965214820814), np.float64(0.22726389562016616), np.float64(0.23895761661583578), np.float64(0.20571399309119667), np.float64(0.48844269255315353), np.float64(0.22941932687278485)]"
SS24,18,Start18,Stop18,353993.5790752606,353998.3705940752,4.0,8.5,5,8.5,True,"[np.float64(0.24050875016936066), np.float64(0.29018423930338233), np.float64(0.2766250793039297), np.float64(0.17901997679570297), np.float64(0.33558495005550293), np.float64(0.5601299710156434)]"
SS24,19,Start19,Stop19,354005.1704001959,354010.17156271107,4.0,7.0,0,7.0,True,"[np.float64(0.38248208960504526), np.float64(0.23755706836071405), np.float64(0.18591524218107344), np.float64(0.21305847049958315), np.float64(0.3557139983156664), np.float64(0.250105271782726)]"
SS24,20,Start20,Stop20,354016.7753996312,354021.77932674636,4.0,8.0,1,8.0,True,"[np.float64(0.24221872564204966), np.float64(0.5121013348701446), np.float64(0.2661993041192124), np.float64(0.19155412814550557), np.float64(0.3616730328611444), np.float64(0.26361283571632044)]"
SS24,21,Start21,Stop21,354028.3955840665,354033.3814127816,4.0,9.0,2,9.0,True,"[np.float64(0.27216117923325456), np.float64(0.2158246777748182), np.float64(0.5312391267070276), np.float64(0.3017382908316675), np.float64(0.35011507504433764), np.float64(0.2527592744373891)]"
SS24,22,Start22,Stop22,354039.9814056017,354044.985121117,4.0,11.0,3,11.0,True,"[np.float64(0.2646655361579854), np.float64(0.2929263726631081), np.float64(0.2981340054135479), np.float64(0.4330736109554914), np.float64(0.3047162376749115), np.float64(0.31836039109664155)]"
SS24,23,Start23,Stop23,354051.586652437,354056.59156055225,4.0,7.5,4,7.5,True,"[np.float64(0.25398448999523576), np.float64(0.2865681635297565), np.float64(0.2100975680042072), np.float64(0.2795145153677133), np.float64(0.5042690878807937), np.float64(0.20876662908890795)]"
SS24,24,Start24,Stop24,354063.1900290723,354068.1915280875,4.0,8.5,5,8.5,True,"[np.float64(0.3254188584105854), np.float64(0.19557729322919182), np.float64(0.2316352090568962), np.float64(0.24453529629098764), np.float64(0.3188125039630668), np.float64(0.5144541702213088)]"
SS25,1,Start1,Stop1,354988.40471218666,354993.3957674268,4.0,7.0,0,7.0,True,"[np.float64(0.29312495720448467), np.float64(0.22602858657438146), np.float64(0.21466971506028348), np.float64(0.14665564995018085), np.float64(0.2829006248877921), np.float64(0.20343243087746737)]"
SS25,2,Start2,Stop2,354999.99711927975,355005.0003610199,4.0,8.0,1,8.0,True,"[np.float64(0.2886226840558283), np.float64(0.38165932180398227), np.float64(0.2713427553232622), np.float64(0.2201783413783046), np.float64(0.1927033107770961), np.float64(0.2897409588610337)]"
SS25,3,Start3,Stop3,355011.5975625729,355016.598308613,4.0,9.0,2,9.0,True,"[np.float64(0.24306172720296657), np.float64(0.258821189516095), np.float64(0.3789313995493674), np.float64(0.3284505231453663), np.float64(0.24323170666767288), np.float64(0.23998527394079291)]"
SS25,4,Start4,Stop4,355023.195027766,355028.19735740614,4.0,11.0,3,11.0,True,"[np.float64(0.3003194273150861), np.float64(0.22899082517071712), np.float64(0.24755770159776014), np.float64(0.31504077402963193), np.float64(0.22640044693088376), np.float64(0.22261135385764103)]"
SS25,5,Start5,Stop5,355034.99853046075,355039.9994097009,4.0,7.5,0,7.0,False,"[np.float64(0.3026804316863594), np.float64(0.27961916260910336), np.float64(0.2645695140986495), np.float64(0.2586294431175908), np.float64(0.25026030019436835), np.float64(0.1722313052100111)]"
SS25,6,Start6,Stop6,355046.6086320539,355051.7967663956,4.0,8.5,5,8.5,True,"[np.float64(0.2590151768906164), np.float64(0.17118048598151678), np.float64(0.19272120094853873), np.float64(0.2474035917809637), np.float64(0.29751943731641556), np.float64(0.3719863256000944)]"
SS25,7,Start7,Stop7,355058.39649504854,355063.39949628874,4.0,7.0,0,7.0,True,"[np.float64(0.41362516634542945), np.float64(0.20544794575778225), np.float64(0.2257635494277038), np.float64(0.2907804141972045), np.float64(0.2559974330013443), np.float64(0.24231539121816262)]"
SS25,8,Start8,Stop8,355069.9971364417,355075.0024428819,4.0,8.0,1,8.0,True,"[np.float64(0.26579075589440215), np.float64(0.38217473927230083), np.float64(0.21583416731444688), np.float64(0.2321127704830513), np.float64(0.30036738123542617), np.float64(0.2187998233881049)]"
SS25,9,Start9,Stop9,355081.8039352365,355086.8087695766,4.0,9.0,2,9.0,True,"[np.float64(0.27664024939463555), np.float64(0.2647481183253242), np.float64(0.3249050075536726), np.float64(0.22955359896971927), np.float64(0.2754570140315714), np.float64(0.2290339960588411)]"
SS25,10,Start10,Stop10,355093.4048908296,355098.3990539697,4.0,11.0,3,11.0,True,"[np.float64(0.3296062124075866), np.float64(0.2523085716917594), np.float64(0.19795465897137277), np.float64(0.47607025330052166), np.float64(0.2243760185381324), np.float64(0.26773293773151297)]"
